序号,刊物简称,刊物全称,出版社,网址,学科,文章类别,CCF级别
99,,IET Communications,IET,http://dblp.uni-trier.de/db/journals/iet-com/ ,计算机网络,期刊,C
100,JNCA,Journal of Network and Computer Applications ,Elsevier ,http://dblp.uni-trier.de/db/journals/jnca/ ,计算机网络,期刊,C
101,MONET,Mobile Networks & Applications ,Springer,http://dblp.uni-trier.de/db/journals/monet/ ,计算机网络,期刊,C
102,,Networks ,Wiley,http://dblp.uni-trier.de/db/journals/networks/ ,计算机网络,期刊,C
103,PPNA,Peer-to-Peer Networking and Applications,Springer,http://dblp.uni-trier.de/db/journals/ppna/ ,计算机网络,期刊,C
104,WCMC,Wireless Communications & Mobile Computing,Wiley,http://dblp.uni-trier.de/db/journals/wicomm/ ,计算机网络,期刊,C
105,,Wireless Networks ,Springer,http://dblp.uni-trier.de/db/journals/winet/ ,计算机网络,期刊,C
106,MOBICOM ,ACM International Conference on Mobile Computing and Networking ,ACM ,http://dblp.uni-trier.de/db/conf/mobicom/ ,计算机网络,会议,A
107,SIGCOMM ,"ACM International Conference on the applications, technologies, architectures, and protocols for computer communication ",ACM ,http://dblp.uni-trier.de/db/conf/sigcomm/index.html ,计算机网络,会议,A
108,INFOCOM ,IEEE International Conference on Computer Communications ,IEEE ,http://dblp.uni-trier.de/db/conf/infocom/ ,计算机网络,会议,A
109,SenSys ,ACM Conference on Embedded Networked Sensor Systems ,ACM ,http://dblp.uni-trier.de/db/conf/sensys/ ,计算机网络,会议,B
110,CoNEXT ,ACM International Conference on emerging Networking EXperiments and Technologies ,ACM ,http://dblp.uni-trier.de/db/conf/conext/ ,计算机网络,会议,B
111,SECON ,IEEE Communications Society Conference on Sensor and Ad Hoc Communications and Networks ,IEEE ,http://dblp.uni-trier.de/db/conf/secon/ ,计算机网络,会议,B
112,IPSN ,International Conference on Information Processing in Sensor Networks ,IEEE/ACM ,http://dblp.uni-trier.de/db/conf/ipsn/ ,计算机网络,会议,B
113,ICNP ,International Conference on Network Protocols ,IEEE ,http://dblp.uni-trier.de/db/conf/icnp/ ,计算机网络,会议,B
114,MobiHoc ,International Symposium on Mobile Ad Hoc Networking and Computing ,ACM/IEEE ,http://dblp.uni-trier.de/db/conf/mobihoc/ ,计算机网络,会议,B
115,MobiSys ,"International Conference on Mobile Systems, Applications, and Services ",ACM ,http://dblp.uni-trier.de/db/conf/mobisys/ ,计算机网络,会议,B
116,IWQoS ,International Workshop on Quality of Service ,IEEE ,http://dblp.uni-trier.de/db/conf/iwqos/ ,计算机网络,会议,B
117,IMC ,Internet Measurement Conference ,ACM/USENIX ,http://dblp.uni-trier.de/db/conf/imc/ ,计算机网络,会议,B
118,NOSSDAV ,Network and Operating System Support for Digital Audio and Video ,ACM ,http://dblp.uni-trier.de/db/conf/nossdav/ ,计算机网络,会议,B
119,NSDI  ,Symposium on Network System Design and Implementation ,USENIX ,http://dblp.uni-trier.de/db/conf/nsdi/ ,计算机网络,会议,B
120,ANCS ,Architectures for Networking and Communications Systems ,ACM/IEEE ,http://dblp.uni-trier.de/db/conf/ancs/ ,计算机网络,会议,C
121,FORTE ,Formal Techniques for Networked and Distributed Systems ,Springer ,http://dblp.uni-trier.de/db/conf/forte/ ,计算机网络,会议,C
122,LCN ,IEEE Conference on Local Computer Networks ,IEEE ,http://dblp.uni-trier.de/db/conf/lcn/ ,计算机网络,会议,C
123,Globecom ,"IEEE Global Communications Conference, incorporating the Global Internet Symposium ",IEEE ,http://dblp.uni-trier.de/db/conf/globecom/ ,计算机网络,会议,C
124,ICC ,IEEE International Conference on Communications ,IEEE ,http://dblp.uni-trier.de/db/conf/icc/ ,计算机网络,会议,C
125,ICCCN ,IEEE International Conference on Computer Communications and Networks ,IEEE ,http://dblp.uni-trier.de/db/conf/icccn/ ,计算机网络,会议,C
126,MASS ,IEEE International Conference on Mobile Ad hoc and Sensor Systems ,IEEE ,http://dblp.uni-trier.de/db/conf/mass/index.html ,计算机网络,会议,C
127,P2P,IEEE International Conference on P2P Computing,IEEE ,http://dblp.uni-trier.de/db/conf/p2p/,计算机网络,会议,C
128,IPCCC ,IEEE International Performance Computing and Communications Conference ,IEEE ,http://dblp.uni-trier.de/db/conf/ipccc/ ,计算机网络,会议,C
129,WoWMoM ,IEEE International Symposium on a World of Wireless Mobile and Multimedia Networks ,IEEE ,http://dblp.uni-trier.de/db/conf/wowmom/ ,计算机网络,会议,C
130,ISCC ,IEEE Symposium on Computers and Communications ,IEEE ,http://dblp.uni-trier.de/db/conf/iscc/ ,计算机网络,会议,C
131,WCNC ,IEEE Wireless Communications & Networking Conference ,IEEE ,http://dblp.uni-trier.de/db/conf/wcnc/ ,计算机网络,会议,C
132,,IFIP International Conferences on Networking ,IFIP ,http://dblp.uni-trier.de/db/conf/networking/index. html ,计算机网络,会议,C
133,IM ,IFIP/IEEE International Symposium on Integrated Network Management ,IFIP/IEEE ,http://dblp.uni-trier.de/db/conf/im/index.html ,计算机网络,会议,C
134,MSWiM ,"International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems ",ACM ,http://dblp.uni-trier.de/db/conf/mswim/ ,计算机网络,会议,C
135,NOMS ,Asia-Pacific Network Operations and Management Symposium ,IFIP/IEEE ,http://dblp.uni-trier.de/db/conf/apnoms/ ,计算机网络,会议,C
136,HotNets ,The Workshop on Hot Topics in Networks ,ACM ,http://dblp.uni-trier.de/db/conf/hotnets/ ,计算机网络,会议,C
137,WASA ,"International Conference on Wireless Algorithms, Systems, and Applications ",Springer ,http://dblp.uni-trier.de/db/conf/wasa/ ,计算机网络,会议,C
138,TDSC,IEEE Transactions on Dependable and Secure Computing ,IEEE,http://dblp.uni-trier.de/db/journals/tdsc/,网络与信息安全,期刊,A
139,TIFS,IEEE Transactions on Information Forensics and Security,IEEE,http://dblp.uni-trier.de/db/journals/tifs/,网络与信息安全,期刊,A
140,,Journal of Cryptology,Springer,http://dblp.uni-trier.de/db/journals/joc/,网络与信息安全,期刊,A
141,TISSEC,ACM Transactions on Information and System Security,ACM,http://dblp.uni-trier.de/db/journals/tissec/,网络与信息安全,期刊,B
142,,Computers & Security,Elsevier,http://dblp.uni-trier.de/db/journals/compsec/,网络与信息安全,期刊,B
143,,"Designs, Codes and Cryptography",Springer,http://dblp.uni-trier.de/db/journals/dcc/,网络与信息安全,期刊,B
144,JCS,Journal of Computer Security,IOS Press,http://dblp.uni-trier.de/db/journals/jcs/,网络与信息安全,期刊,B
145,CLSR,Computer Law and Security Reports,Elsevier,http://www.journals.elsevier.com/computer-law-and-security-review/,网络与信息安全,期刊,C
146,,EURASIP Journal on Information Security,Springer,http://dblp.uni-trier.de/db/journals/ejisec/,网络与信息安全,期刊,C
147,,IET Information Security,IET,http://dblp.uni-trier.de/db/journals/iet-ifs/,网络与信息安全,期刊,C
148,IMCS,Information Management & Computer Security,Emerald,http://dblp.uni-trier.de/db/journals/imcs/,网络与信息安全,期刊,C
149,ISTR,Information Security Technical Report,Elsevier,http://dblp.uni-trier.de/db/journals/istr/,网络与信息安全,期刊,C
150,IJISP,International Journal of Information Security and Privacy,Idea Group Inc,http://dblp.uni-trier.de/db/journals/ijisp/,网络与信息安全,期刊,C
151,IJICS,International Journal of Information and Computer Security,Inderscience,http://dblp.uni-trier.de/db/journals/ijics/,网络与信息安全,期刊,C
152,SCN,Security and Communication Networks,Wiley,http://dblp.uni-trier.de/db/journals/scn/,网络与信息安全,期刊,C
153,CCS,ACM Conference on Computer and Communications Security,ACM,http://dblp.uni-trier.de/db/conf/ccs/,网络与信息安全,会议,A
154,CRYPTO,International Cryptology Conference,Springer,http://dblp.uni-trier.de/db/conf/crypto/,网络与信息安全,会议,A
155,EUROCRYPT,European Cryptology Conference,Springer,http://dblp.uni-trier.de/db/conf/eurocrypt/,网络与信息安全,会议,A
156,S&P,IEEE Symposium on Security and Privacy,IEEE,http://dblp.uni-trier.de/db/conf/sp/,网络与信息安全,会议,A
157,USENIX Security,Usenix Security Symposium,USENIX Association ,http://dblp.uni-trier.de/db/conf/uss/,网络与信息安全,会议,A
158,ACSAC,Annual Computer Security Applications Conference,IEEE,http://dblp.uni-trier.de/db/conf/acsac/,网络与信息安全,会议,B
159,ASIACRYPT,Annual International Conference on the Theory and Application of Cryptology and Information Security,Springer,http://dblp.uni-trier.de/db/conf/asiacrypt/,网络与信息安全,会议,B
160,ESORICS,EuropeanSymposiumonResearchinComputerSecurity,Springer,http://dblp.uni-trier.de/db/conf/esorics/,网络与信息安全,会议,B
161,FSE,Fast Software Encryption,Springer,http://dblp.uni-trier.de/db/conf/fse/,网络与信息安全,会议,B
162,NDSS,ISOC Network and Distributed System Workshop,ISOC,http://dblp.uni-trier.de/db/conf/ndss/,网络与信息安全,会议,B
163,CSFW,IEEE Computer Security Foundations Workshop,IEEE,http://dblp.uni-trier.de/db/conf/csfw/,网络与信息安全,会议,B
164,RAID,International Symposium on Recent Advances in Intrusion Detection,Springer,http://dblp.uni-trier.de/db/conf/raid/,网络与信息安全,会议,B
165,PKC,International Workshop on Practice and Theory in Public Key Cryptography,Springer,http://dblp.uni-trier.de/db/conf/pkc/,网络与信息安全,会议,B
166,DSN,The International Conference on Dependable Systems and Networks,IEEE/IFIP,http://dblp.uni-trier.de/db/conf/dsn/,网络与信息安全,会议,B
167,TCC,Theory of Cryptography Conference,Springer,http://dblp.uni-trier.de/db/conf/tcc/,网络与信息安全,会议,B
168,SRDS,IEEE International Symposium on Reliable Distributed Systems,IEEE,http://dblp.uni-trier.de/db/conf/srds/,网络与信息安全,会议,B
169,CHES,Workshop on Cryptographic Hardware and Embedded Systems,Springer,http://dblp.uni-trier.de/db/conf/ches/,网络与信息安全,会议,B
170,WiSec,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM,http://dblp.uni-trier.de/db/conf/wisec/,网络与信息安全,会议,C
171,ACM MM&SEC,ACM Multimedia and Security Workshop,ACM,http://dblp.uni-trier.de/db/conf/ih/,网络与信息安全,会议,C
172,SACMAT,ACM Symposium on Access Control Models and Technologies,ACM,http://dblp.uni-trier.de/db/conf/sacmat/,网络与信息安全,会议,C
173,ASIACCS,"ACM Symposium on Information, Computer and Communications Security",ACM,http://dblp.uni-trier.de/db/conf/ccs/,网络与信息安全,会议,C
174,DRM,ACM Workshop on Digital Rights Management,ACM,http://dblp.uni-trier.de/db/conf/drm/,网络与信息安全,会议,C
175,ACNS,Applied Cryptography and Network Security,Springer,http://dblp.uni-trier.de/db/conf/acns/,网络与信息安全,会议,C
176,ACISP,AustralasiaConferenceonInformation SecurityandPrivacy,Springer,http://dblp.uni-trier.de/db/conf/acisp/,网络与信息安全,会议,C
177,DFRWS,Digital Forensic Research Workshop,Elsevier,http://dblp.uni-trier.de/db/conf/dfrws/,网络与信息安全,会议,C
178,FC,Financial Cryptography and Data Security,Springer,http://dblp.uni-trier.de/db/conf/fc/,网络与信息安全,会议,C
179,DIMVA,Detection of Intrusions and Malware &Vulnerability Assessment,SIDAR、GI、Springer,http://dblp.uni-trier.de/db/conf/dimva/,网络与信息安全,会议,C
180,SEC,IFIP International Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/sec/,网络与信息安全,会议,C
181,IFIP WG 11.9,IFIP WG 11.9 International Conference on Digital Forensics,Springer,http://www.ifip119.org/Conferences/,网络与信息安全,会议,C
182,ISC,Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/isw/,网络与信息安全,会议,C
183,ICICS,International Conference on Information and Communications Security,Springer,http://dblp.uni-trier.de/db/conf/icics/,网络与信息安全,会议,C
184,SecureComm,International Conference on Security and Privacy in Communication Networks,ACM,http://dblp.uni-trier.de/db/conf/securecomm/,网络与信息安全,会议,C
185,NSPW,New Security Paradigms Workshop,ACM,http://dblp.uni-trier.de/db/conf/nspw/,网络与信息安全,会议,C
186,CT-RSA,"RSA Conference, Cryptographers' Track",Springer,http://dblp.uni-trier.de/db/conf/ctrsa/,网络与信息安全,会议,C
187,SOUPS,Symposium On Usable Privacy and Security,ACM,http://dblp.uni-trier.de/db/conf/soups/,网络与信息安全,会议,C
188,HotSec,USENIX Workshop on Hot Topics in Security,USENIX,http://www.usenix.org/events/,网络与信息安全,会议,C
189,SAC,Selected Areas in Cryptography,Springer,http://dblp.uni-trier.de/db/conf/sacrypt/,网络与信息安全,会议,C
